"SID","station_group"
1476,"Coast"
1467,"Coast"
1448,"Coast"
1430,"Coast"
1436,"Coast"
1427,"Coast"
1426,"Coast"
1412,"Coast"
1411,"Coast"
1414,"Coast"
1406,"Coast"
1418,"Coast"
1307,"Coast"
1308,"Coast"
1304,"Coast"
1203,"Coast"
1205,"Coast"
1210,"Coast"
1212,"Coast"
1225,"Coast"
1228,"Coast"
1240,"Coast"
1259,"Coast"
1262,"Coast"
1102,"Coast"
1108,"Coast"
1117,"Coast"
1121,"Coast"
1115,"Coast"
1144,"Coast"
1152,"Coast"
1160,"Coast"
1156,"Coast"
1010,"Coast"
1012,"Coast"
1015,"Coast"
1021,"Coast"
1033,"Coast"
1044,"Coast"
1055,"Coast"
1068,"Coast"
1074,"Coast"
1083,"Coast"
1092,"Coast"
1098,"Coast"
1088,"Coast"
1034,"Coast"
1043,"Coast"
1046,"Coast"
1052,"Coast"
1066,"Coast"
1078,"Coast"
1086,"Coast"
1097,"Coast"
1099,"Coast"
1103,"Coast"
1105,"Coast"
1106,"Coast"
1107,"Coast"
1112,"Coast"
1114,"Coast"
1116,"Coast"
1137,"Coast"
1138,"Coast"
1139,"Coast"
1141,"Coast"
1154,"Coast"
1161,"Coast"
1521,"Coast"
2615,"Coast"
2516,"Coast"
1001,"Coast"
1002,"Coast"
1003,"Coast"
1004,"Coast"
1006,"Coast"
1007,"Coast"
1008,"Coast"
1009,"Coast"
1016,"Coast"
1017,"Coast"
1019,"Coast"
1020,"Coast"
1025,"Coast"
1026,"Coast"
1028,"Coast"
1045,"Coast"
1047,"Coast"
1049,"Coast"
1062,"Coast"
1075,"Coast"
1132,"Coast"
1143,"Coast"
1147,"Coast"
1158,"Coast"
1167,"Coast"
1207,"Coast"
1214,"Coast"
1224,"Coast"
1241,"Coast"
1242,"Coast"
1287,"Coast"
1298,"Coast"
1300,"Coast"
1311,"Coast"
1317,"Coast"
1318,"Coast"
1329,"Coast"
1338,"Coast"
1378,"Coast"
1385,"Coast"
1386,"Coast"
1400,"Coast"
1403,"Coast"
1416,"Coast"
1417,"Coast"
1422,"Coast"
1424,"Coast"
1450,"Coast"
1459,"Coast"
1465,"Coast"
1470,"Coast"
1483,"Coast"
1486,"Coast"
1493,"Coast"
2013,"Coast"
2019,"Coast"
2020,"Coast"
2024,"Coast"
2029,"Coast"
2119,"Coast"
2130,"Coast"
2186,"Coast"
2196,"Coast"
2197,"Coast"
2217,"Coast"
2219,"Coast"
2226,"Coast"
2230,"Coast"
2263,"Coast"
2286,"Coast"
2293,"Coast"
2292,"Coast"
2308,"Coast"
2331,"Coast"
2347,"Coast"
2354,"Coast"
2365,"Coast"
2366,"Coast"
2378,"Coast"
2403,"Coast"
2408,"Coast"
2417,"Coast"
2441,"Coast"
2464,"Coast"
2482,"Coast"
2486,"Coast"
2489,"Coast"
2496,"Coast"
2498,"Coast"
2520,"Coast"
2544,"Coast"
2545,"Coast"
2548,"Coast"
2558,"Coast"
2587,"Coast"
2589,"Coast"
2598,"Coast"
2607,"Coast"
2609,"Coast"
2611,"Coast"
2632,"Coast"
2646,"Coast"
2667,"Coast"
2670,"Coast"
2679,"Coast"
2680,"Coast"
2701,"Coast"
2704,"Coast"
2711,"Coast"
2719,"Coast"
2721,"Coast"
2723,"Coast"
2725,"Coast"
2727,"Coast"
2728,"Coast"
2730,"Coast"
2731,"Coast"
2732,"Coast"
2734,"Coast"
2736,"Coast"
2739,"Coast"
2741,"Coast"
2743,"Coast"
2746,"Coast"
2747,"Coast"
2750,"Coast"
2751,"Coast"
2752,"Coast"
2757,"Coast"
2761,"Coast"
2763,"Coast"
2765,"Coast"
2768,"Coast"
2772,"Coast"
2778,"Coast"
2780,"Coast"
2781,"Coast"
2788,"Coast"
2790,"Coast"
2793,"Coast"
2794,"Coast"
2795,"Coast"
2800,"Coast"
2801,"Coast"
2808,"Coast"
2816,"Coast"
2828,"Coast"
2831,"Coast"
2836,"Coast"
2862,"Coast"
2863,"Coast"
2872,"Coast"
2873,"Coast"
2875,"Coast"
2876,"Coast"
2889,"Coast"
2897,"Coast"
2907,"Coast"
2910,"Coast"
2913,"Coast"
2915,"Coast"
2917,"Coast"
2920,"Coast"
2939,"Coast"
2943,"Coast"
2944,"Coast"
2950,"Coast"
2964,"Coast"
2967,"Coast"
2976,"Coast"
2978,"Coast"
2979,"Coast"
2980,"Coast"
2981,"Coast"
2982,"Coast"
2984,"Coast"
2987,"Coast"
2988,"Coast"
2991,"Coast"
2992,"Coast"
2993,"Coast"
2996,"Coast"
4001,"Coast"
4003,"Coast"
4005,"Coast"
4007,"Coast"
4010,"Coast"
4013,"Coast"
4014,"Coast"
4017,"Coast"
4018,"Coast"
4025,"Coast"
4027,"Coast"
4030,"Coast"
4034,"Coast"
4038,"Coast"
4044,"Coast"
4045,"Coast"
4048,"Coast"
4051,"Coast"
4053,"Coast"
4058,"Coast"
4059,"Coast"
4062,"Coast"
4064,"Coast"
4065,"Coast"
4071,"Coast"
4072,"Coast"
4077,"Coast"
4081,"Coast"
4082,"Coast"
4087,"Coast"
4091,"Coast"
4094,"Coast"
4097,"Coast"
4101,"Coast"
4103,"Coast"
4104,"Coast"
4109,"Coast"
4115,"Coast"
4119,"Coast"
4120,"Coast"
4124,"Coast"
4126,"Coast"
4130,"Coast"
4131,"Coast"
4140,"Coast"
4161,"Coast"
4165,"Coast"
4170,"Coast"
4180,"Coast"
4183,"Coast"
4196,"Coast"
4197,"Coast"
4208,"Coast"
4211,"Coast"
4213,"Coast"
4214,"Coast"
4217,"Coast"
4219,"Coast"
4220,"Coast"
4221,"Coast"
4224,"Coast"
4228,"Coast"
4234,"Coast"
4241,"Coast"
4242,"Coast"
4250,"Coast"
4253,"Coast"
4254,"Coast"
4260,"Coast"
4266,"Coast"
4272,"Coast"
4273,"Coast"
4280,"Coast"
4282,"Coast"
4283,"Coast"
4285,"Coast"
4301,"Coast"
4312,"Coast"
4313,"Coast"
4320,"Coast"
4330,"Coast"
4339,"Coast"
4341,"Coast"
4351,"Coast"
4360,"Coast"
4361,"Coast"
4373,"Coast"
4382,"Coast"
4390,"Coast"
6021,"Coast"
6022,"Coast"
6033,"Coast"
6041,"Coast"
6042,"Coast"
6051,"Coast"
6052,"Coast"
6055,"Coast"
6058,"Coast"
6063,"Coast"
6073,"Coast"
6079,"Coast"
6081,"Coast"
6088,"Coast"
6093,"Coast"
6096,"Coast"
6099,"Coast"
6119,"Coast"
6123,"Coast"
6124,"Coast"
6132,"Coast"
6138,"Coast"
6147,"Coast"
6149,"Coast"
6151,"Coast"
6159,"Coast"
6165,"Coast"
6168,"Coast"
6169,"Coast"
6180,"Coast"
6183,"Coast"
6190,"Coast"
6193,"Coast"
22028,"Coast"
22165,"Coast"
22212,"Coast"
22217,"Coast"
22271,"Coast"
22282,"Coast"
22312,"Coast"
22349,"Coast"
22365,"Coast"
22422,"Coast"
22438,"Coast"
22446,"Coast"
22452,"Coast"
22471,"Coast"
22518,"Coast"
22520,"Coast"
22522,"Coast"
22525,"Coast"
22529,"Coast"
22541,"Coast"
22550,"Coast"
22551,"Coast"
22559,"Coast"
22602,"Coast"
22619,"Coast"
22621,"Coast"
22641,"Coast"
22727,"Coast"
22802,"Coast"
22892,"Coast"
22917,"Coast"
22798,"Coast"
22981,"Coast"
22996,"Coast"
26029,"Coast"
26058,"Coast"
26063,"Coast"
26115,"Coast"
26120,"Coast"
26128,"Coast"
26157,"Coast"
26214,"Coast"
26215,"Coast"
26218,"Coast"
26226,"Coast"
26227,"Coast"
26229,"Coast"
26313,"Coast"
26314,"Coast"
26324,"Coast"
26403,"Coast"
26406,"Coast"
26509,"Coast"
26603,"Coast"
6043,"Coast"
6126,"Coast"
59316,"Coast"
54527,"Coast"
47800,"Coast"
47740,"Coast"
47605,"Coast"
47600,"Coast"
47765,"Coast"
47891,"Coast"
47887,"Coast"
47898,"Coast"
